study_id,site_id,core_id,species_code,code_type,habitat
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R1,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R2,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R3,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R4,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS1_R5,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS2_R1,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS2_R2,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS2_R3,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS2_R4,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS2_R5,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS3_R1,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS3_R2,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS3_R3,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS3_R4,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_LWR_SS3_R5,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS1_R1,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS1_R2,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS1_R3,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS1_R4,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS1_R5,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS2_R1,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS2_R2,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS2_R3,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS2_R4,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS2_R5,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS3_R1,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS3_R2,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS3_R3,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS3_R4,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Berg,Berg_UPR_SS3_R5,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS1_R1,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS1_R2,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS1_R3,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS1_R4,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS1_R5,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS2_R1,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS2_R2,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS2_R3,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS2_R4,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS2_R5,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS3_R1,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS3_R2,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS3_R3,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS3_R4,Zostera capensis,Genus species,seagrass
Bossert_et_al_2025_Berg_Breede,Breede,Breede_UPR_SS3_R5,Zostera capensis,Genus species,seagrass
