"study_id","site_id","species_code","code_type"
"Romero_et_al_2025","R1","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","R1","Laguncularia racemosa","Genus species"
"Romero_et_al_2025","R1","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","R2","Rhizophora mangle","Genus species"
"Romero_et_al_2025","R3","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","R3","Rhizophora mangle","Genus species"
"Romero_et_al_2025","R4","Rhizophora mangle","Genus species"
"Romero_et_al_2025","R4","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","R5","Rhizophora mangle","Genus species"
"Romero_et_al_2025","R5","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","SF1","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","SF1","Laguncularia racemosa","Genus species"
"Romero_et_al_2025","SF1","Avicennia germinans","Genus species"
"Romero_et_al_2025","SF2","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SF2","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","SF2","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","SF2","Mora oleifera","Genus species"
"Romero_et_al_2025","SF2","Laguncularia racemosa","Genus species"
"Romero_et_al_2025","SF3","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","SF3","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","SF3","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL1","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL10","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","SL10","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","SL11","Avicennia germinans","Genus species"
"Romero_et_al_2025","SL11","Laguncularia racemosa","Genus species"
"Romero_et_al_2025","SL11","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","SL11","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","SL12","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL12","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","SL12","Mora oleifera","Genus species"
"Romero_et_al_2025","SL13","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","SL13","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL13","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","SL14","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL14","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","SL14","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","SL2","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL3","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL3","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","SL4","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL5","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL5","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","SL5","Laguncularia racemosa","Genus species"
"Romero_et_al_2025","SL6","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL7","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL7","Rhizophora racemosa","Genus species"
"Romero_et_al_2025","SL7","Laguncularia racemosa","Genus species"
"Romero_et_al_2025","SL8","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL8","Peliciera rhizophorae","Genus species"
"Romero_et_al_2025","SL8","Laguncularia racemosa","Genus species"
"Romero_et_al_2025","SL9","Rhizophora mangle","Genus species"
"Romero_et_al_2025","SL9","Rhizophora racemosa","Genus species"
