"study_id","site_id","location","latitude","longitude","position_method","position_notes","live_tree_carbon","dead_tree_carbon","understory_carbon","debris_carbon","soil_carbon","root_carbon","AGC_total","BGC_total","total_ecosystem_carbon"
"Romero_et_al_2025","R1","Finca Motta",8.155683517456055,-81.80876922607422,"other low resolution","site-level coordinates",29.99,0,0,0.9431956699902344,115.845995473586,9.88,30.933195669990237,125.725995473586,156.65919114357624
"Romero_et_al_2025","R2","Estero Cangrejo",8.172383308410645,-81.78861999511719,"other low resolution","site-level coordinates",1.950763832336552,0,0,0.23878718750000005,175.51400142666117,1.2582353481237605,2.189551019836552,176.77223677478491,178.96178779462147
"Romero_et_al_2025","R3","Remedios",8.199666976928711,-81.77086639404297,"other low resolution","site-level coordinates",83.82096416125718,1.302854182516087,0,0,178.8675674922922,21.69671020868084,85.12381834377327,200.56427770097304,285.6880960447463
"Romero_et_al_2025","R4","Remedios",8.208783149719238,-81.79862976074219,"other low resolution","site-level coordinates",24.96585477408884,0,0,0.19770552083333331,205.87831480557855,18.117219173715384,25.16356029492217,223.99553397929395,249.15909427421613
"Romero_et_al_2025","R5","Estero arriba",8.210183143615723,-81.78974914550781,"other low resolution","site-level coordinates",11.026728209584183,1.3458474084041163,0,0.14062768020833336,281.5408933691995,7.882992497236065,12.513203298196634,289.4238858664356,301.9370891646322
"Romero_et_al_2025","SF1","San  Félix",8.195116996765137,-81.93054962158203,"other low resolution","site-level coordinates",133.7087780080995,3.6625051361912377,0,2.0296269036458328,122.67429853818184,34.46326286164134,139.40091004793658,157.13756139982317,296.5384714477598
"Romero_et_al_2025","SF2","Estero Cabuyal",8.24530029296875,-81.92131805419922,"other low resolution","site-level coordinates",235.5507692944101,27.79977577193918,0.050885626434541593,0.6145386342633927,226.97909479422967,120.6145091343443,264.0159693270472,347.593603928574,611.6095732556212
"Romero_et_al_2025","SF3","Estero Cabuyal",8.2626495361328125,-81.94944763183594,"other low resolution","site-level coordinates",74.00196688166153,1.7025432735927055,0,0.5401468885416667,325.5211440363972,29.04587937993819,76.24465704379591,354.56702341633536,430.8116804601312
"Romero_et_al_2025","SL1","Estero Horconcitos",8.347233772277832,-82.21728515625,"other low resolution","site-level coordinates",8.705576836603548,0.4384005549610698,NA,0.67648025078125,282.73635970064834,6.14768258616921,9.820457642345868,288.88404228681753,298.7044999291634
"Romero_et_al_2025","SL10","Bahía Muerto",8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates",112.53990988771515,0,0.03969078861894245,5.881903388058037,253.55471413043244,37.81321838108136,118.46150406439214,291.3679325115138,409.829436575906
"Romero_et_al_2025","SL11","Bahía Muerto",8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates",33.15935269784091,10.006518577868103,0.15469230436100645,2.4064613291666666,188.610712112245,14.464090480198715,45.72702490923669,203.0748025924437,248.8018275016804
"Romero_et_al_2025","SL12","Bahía Muerto",8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates",29.72917758243371,1.6793828844446668,0.31040232125070366,0.35571588125000003,150.61272063109666,20.252076395731535,32.07467866937908,170.8647970268282,202.9394756962073
"Romero_et_al_2025","SL13","Estero Cabuyal",8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates",48.96616036265032,0.461495518341276,0,0.46778538411458337,380.9776275155464,20.844010191691897,49.895441265106165,401.8216377072383,451.7170789723445
"Romero_et_al_2025","SL14","Estero Cabuyal",8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates",15.10183618039261,0.7878068657310066,0,0.4847444096354166,207.5109405319285,11.798792352844483,16.374387455759035,219.30973288477296,235.684120340532
"Romero_et_al_2025","SL2","Estero Horconcitos",8.334600448608398,-82.1578369140625,"other low resolution","site-level coordinates",7.142777454892235,0,0,0.6145386342633927,201.65,5.883387375998505,7.757316089155627,207.5333873759985,215.2907034651541
"Romero_et_al_2025","SL3","Estero Horconcitos",8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates",19.06056135289724,0.37442336940891446,0,0.59696796875,154.49797809782808,12.06724765793978,20.03195269105616,166.56522575576787,186.597178446824
"Romero_et_al_2025","SL4","Estero Horconcitos",8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates",20.992011548183147,32.23359463831954,0,1.1531074651331017,174.71751447343635,23.839214909346392,54.37871365163579,198.55672938278275,252.9354430344185
"Romero_et_al_2025","SL5","Estero Horconcitos",8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates",13.118332684590364,8.165265848764841,0,0.25403875625000005,401.40285295750056,8.207758250676454,21.537637289605204,409.610611208177,431.1482484977822
"Romero_et_al_2025","SL6","Bahía Muerto",8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates",16.232062376079142,1.7557278401815664,0,1.5747565684895832,189.8766885012044,12.699204901564288,19.562546784750293,202.57589340276868,222.13844018751897
"Romero_et_al_2025","SL7","Bahía Muerto",8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates",86.75339778327648,5.651418594406297,0,2.478006014518229,335.8831695526034,23.80350735932708,94.88282239220099,359.6866769119305,454.56949930413145
"Romero_et_al_2025","SL8","Bahía Muerto",8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates",6.6639151856278245,1.2807677964109192,0,0.22964651666666663,401.7689075581778,4.410485865598656,8.174329498705411,406.1793934237765,414.3537229224818
"Romero_et_al_2025","SL9","Bahía Muerto",8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates",32.58256517638264,0,0,6.487409786914061,189.0857239509565,10.804809513446726,39.0699749632967,199.89053346440323,238.96050842769995
