"study_id","site_id","core_id","year","month","day","latitude","longitude","position_notes","position_method","habitat","vegetation_class","vegetation_method"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P1-5",2019,12,9,7.795814818499445,-81.17564069896054,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P2-5",2019,12,9,7.795814818499445,-81.17564069896054,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P3-5",2019,12,9,7.795814818499445,-81.17564069896054,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P4-5",2019,12,9,7.795814818499445,-81.17564069896054,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P5-5",2019,12,9,7.795814818499445,-81.17564069896054,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P1-4",2019,9,14,7.812477720047136,-81.17343449108897,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P2-4",2019,9,14,7.812477720047136,-81.17343449108897,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P3-4",2019,9,14,7.812477720047136,-81.17343449108897,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P4-4",2019,9,14,7.812477720047136,-81.17343449108897,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Saino","T3 P1-6",2019,11,21,7.750429110896602,-81.18480873349739,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Saino","T3 P2-6",2019,11,21,7.750429110896602,-81.18480873349739,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Saino","T3 P3-6",2019,11,21,7.750429110896602,-81.18480873349739,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Saino","T3 P4-6",2019,11,21,7.750429110896602,-81.18480873349739,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Saino","T3 P5-6",2019,11,21,7.750429110896602,-81.18480873349739,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Saino","T3 P6-6",2019,11,21,7.750429110896602,-81.18480873349739,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P1-5",2019,11,22,7.739774473482519,-81.20231588332416,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P2-5",2019,11,22,7.739774473482519,-81.20231588332416,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P3-5",2019,11,22,7.739774473482519,-81.20231588332416,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P4-5",2019,11,22,7.739774473482519,-81.20231588332416,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P5-5",2019,11,22,7.739774473482519,-81.20231588332416,"coordinates are site-level resolution","other low resolution","mangrove","forested","measurement"
