"study_id","site_id","core_id","method_id","depth_min","depth_max","sample_id","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P1-5","single set of methods",0,15,"RG12092019_1_1_A",0.68593,0.06329,NA
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P1-5","single set of methods",15,30,"RG12092019_1_1_B",0.60579,0.06321,NA
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P1-5","single set of methods",30,56,"RG12092019_1_1_C",1.06287,0.06767,"una raiz"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P2-5","single set of methods",0,15,"RG12092019_1_2_A",0.46234,0.06861,NA
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P2-5","single set of methods",15,30,"RG12092019_1_2_B",0.53505,0.06331,NA
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P2-5","single set of methods",30,54,"RG12092019_1_2_C",0.44406,0.0639,"Una raíz grande"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P3-5","single set of methods",0,15,"RG12092019_1_3_A",0.76267,0.06277,"Raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P3-5","single set of methods",15,30,"RG12092019_1_3_B",0.73275,0.065310000000000007,NA
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P3-5","single set of methods",30,53,"RG12092019_1_3_C",1.30877,0.05955,"Raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P4-5","single set of methods",0,15,"RG12092019_1_4_A",0.63761,0.07312,"cangrejo"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P4-5","single set of methods",15,30,"RG12092019_1_4_B",0.68106,0.0615,"una raiz"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P4-5","single set of methods",30,50,"RG12092019_1_4_C",0.92326,0.0549,"Raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P5-5","single set of methods",0,15,"RG12092019_1_5_A",0.65751,0.06621,"Raíces"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P5-5","single set of methods",15,30,"RG12092019_1_5_B",0.63481,0.06849,"Raíces"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P5-5","single set of methods",30,50,"RG12092019_1_5_C",0.92596,0.05686,"Raíces"
"Romero_et_al_2025_Montijo","Rio Guabo","T1 P5-5","single set of methods",50,65,"RG12092019_1_5_D",0.72414,0.10706,"Raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P1-4","single set of methods",0,15,"PB14092019_2_1_A",0.53624,0.07447,"Raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P1-4","single set of methods",15,30,"PB14092019_2_1_B",0.59944,0.04635,"Raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P1-4","single set of methods",30,50,"PB14092019_2_1_C",0.78184,0.07977,"Raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P2-4","single set of methods",0,15,"PB14092019_2_2_A",0.63761,0.07318,"Pocas raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P2-4","single set of methods",15,30,"PB14092019_2_2_B",0.46341,0.05376,"Raíces"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P2-4","single set of methods",30,50,"PB14092019_2_2_C",0.99802,0.04186,"Raiz"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P2-4","single set of methods",50,61,"PB14092019_2_2_D",1.89102,0.04541,"Raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P3-4","single set of methods",0,15,"PB14092019_2_3_A",0.46423,0.0561,NA
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P3-4","single set of methods",15,30,"PB14092019_2_3_B",0.47248,0.05589,"Raíces"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P3-4","single set of methods",30,50,"PB14092019_2_3_C",0.58638,0.0637,"Raíces"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P3-4","single set of methods",50,80,"PB14092019_2_3_D",0.5458,0.05415,"Raíces y corteza"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P4-4","single set of methods",0,15,"PB14092019_2_4_A",0.38465,0.06842,"Raíces"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P4-4","single set of methods",15,30,"PB14092019_2_4_B",0.4353,0.0625,"Raíces"
"Romero_et_al_2025_Montijo","Palmas Bella","T2 P4-4","single set of methods",30,50,"PB14092019_2_4_C",0.39723,0.06225,"Raíces y una gruesa"
"Romero_et_al_2025_Montijo","Saino","T3 P1-6","single set of methods",0,15,"SA21112019_3_1_A",0.46897,0.12782,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P1-6","single set of methods",15,30,"SA21112019_3_1_B",0.4761,0.0983,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P1-6","single set of methods",30,50,"SA21112019_3_1_C",0.58998,0.08456,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P1-6","single set of methods",50,65,"SA21112019_3_1_D",0.54849,0.10235,NA
"Romero_et_al_2025_Montijo","Saino","T3 P2-6","single set of methods",0,15,"SA21112019_3_2_A",0.38844,0.12356,"Cortezas"
"Romero_et_al_2025_Montijo","Saino","T3 P2-6","single set of methods",15,30,"SA21112019_3_2_B",0.43892,0.10826,"cortezas"
"Romero_et_al_2025_Montijo","Saino","T3 P2-6","single set of methods",30,50,"SA21112019_3_2_C",0.39993,0.11832,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P3-6","single set of methods",0,15,"SA21112019_3_3_A",0.60161,0.09901,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P3-6","single set of methods",15,30,"SA21112019_3_3_B",0.57314,0.11395,"Raíces y una grande"
"Romero_et_al_2025_Montijo","Saino","T3 P3-6","single set of methods",30,50,"SA21112019_3_3_C",0.92055,0.08743,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P3-6","single set of methods",50,66,"SA21112019_3_3_D",0.52698,0.08228,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P4-6","single set of methods",0,15,"SA21112019_3_4_A",0.40739,0.21915,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P4-6","single set of methods",15,30,"SA21112019_3_4_B",0.41897,0.18267,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P4-6","single set of methods",30,50,"SA21112019_3_4_C",1.33219,0.07848,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P4-6","single set of methods",50,78,"SA21112019_3_4_D",0.61481,0.10896,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P5-6","single set of methods",0,15,"SA21112019_3_5_A",0.34297,0.25286,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P5-6","single set of methods",15,30,"SA21112019_3_5_B",0.42351,0.14851,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P5-6","single set of methods",30,50,"SA21112019_3_5_C",0.78454,0.10486,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P6-6","single set of methods",0,15,"SA21112019_3_6_A",0.30128,0.11571,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P6-6","single set of methods",15,30,"SA21112019_3_6_B",0.37,0.24065,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P6-6","single set of methods",30,50,"SA21112019_3_6_C",0.60349,0.11028,"Raíces"
"Romero_et_al_2025_Montijo","Saino","T3 P6-6","single set of methods",50,77,"SA21112019_3_6_D",1.02169,0.12512,"Raíces y corteza"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P1-5","single set of methods",0,15,"RC22112019_4_1_A",0.77594,0.04583,NA
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P1-5","single set of methods",15,30,"RC22112019_4_1_B",0.65294,0.04757,NA
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P1-5","single set of methods",30,50,"RC22112019_4_1_C",0.88272,0.05648,"Raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P1-5","single set of methods",50,80,"RC22112019_4_1_D",1.67503,0.04698,"Raíz"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P2-5","single set of methods",0,15,"RC22112019_4_2_A",0.53624,0.07997,"Raíces y una raíz grande"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P2-5","single set of methods",15,30,"RC22112019_4_2_B",0.63299,0.05897,"Raíz"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P2-5","single set of methods",30,50,"RC22112019_4_2_C",0.9782,0.0488,"Raíz"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P2-5","single set of methods",50,88,"RC22112019_4_2_D",2.61965,0.04531,"Raíz"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P3-5","single set of methods",0,15,"RC22112019_4_3_A",0.37991,0.06736,NA
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P3-5","single set of methods",15,30,"RC22112019_4_3_B",0.45525,0.07156,"Raíz"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P3-5","single set of methods",30,50,"RC22112019_4_3_C",0.87552,0.06172,"Raíz"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P3-5","single set of methods",50,100,"RC22112019_4_3_D",2.56766,0.0558,"Raíz"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P4-5","single set of methods",0,15,"RC22112019_4_4_A",0.68783,0.05214,"Raíz"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P4-5","single set of methods",15,30,"RC22112019_4_4_B",0.50512,0.06075,"Raíz"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P4-5","single set of methods",30,50,"RC22112019_4_4_C",1.12592,0.07,NA
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P5-5","single set of methods",0,15,"RC22112019_4_5_A",0.53434,0.05336,"Raíz"
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P5-5","single set of methods",15,30,"RC22112019_4_5_B",0.74454,0.04237,NA
"Romero_et_al_2025_Montijo","Rio Cañaza","T4 P5-5","single set of methods",30,50,"RC22112019_4_5_C",0.9737,0.04227,"Raíz"
