"study_id","site_id","subtransect_id","debris_id","debris_transect_length","debris_diameter","debris_class","diameter_squared"
"Romero_et_al_2025_Montijo","Rio Guabo","4","1","12","47","sound","2209"
"Romero_et_al_2025_Montijo","Rio Guabo","4","2","12","27","sound","729"
"Romero_et_al_2025_Montijo","Rio Guabo","1","1","12","46","intermediate","2116"
"Romero_et_al_2025_Montijo","Rio Guabo","1","2","12","34","intermediate","1156"
"Romero_et_al_2025_Montijo","Rio Guabo","2","1","12","47","rotten","2209"
"Romero_et_al_2025_Montijo","Rio Guabo","2","2","12","30","rotten","900"
"Romero_et_al_2025_Montijo","Rio Guabo","2","3","12","9","rotten","81"
"Romero_et_al_2025_Montijo","Rio Guabo","3","1","12","11","rotten","121"
"Romero_et_al_2025_Montijo","Saino","4","1","12","30.2","intermediate","912.04"
"Romero_et_al_2025_Montijo","Palmas Bella","3","1","12","12.5","rotten","156.25"
"Romero_et_al_2025_Montijo","Palmas Bella","3","2","12","14.5","rotten","210.25"
"Romero_et_al_2025_Montijo","Rio Cañaza","1","1","12","31","intermediate","961"
"Romero_et_al_2025_Montijo","Rio Cañaza","2","1","12","20","intermediate","400"
"Romero_et_al_2025_Montijo","Rio Cañaza","2","2","12","14","intermediate","196"
"Romero_et_al_2025_Montijo","Rio Cañaza","2","3","12","17","intermediate","289"
"Romero_et_al_2025_Montijo","Rio Cañaza","2","4","12","31","intermediate","961"
"Romero_et_al_2025_Montijo","Rio Cañaza","3","1","12","33","intermediate","1089"
"Romero_et_al_2025_Montijo","Rio Cañaza","3","2","12","15","intermediate","225"
"Romero_et_al_2025_Montijo","Rio Cañaza","4","1","12","28","intermediate","784"
"Romero_et_al_2025_Montijo","Rio Cañaza","5","1","12","42.5","sound","1806.25"
