"study_id","site_id","plot_id","core_id","sample_id","year","month","day","depth_min","depth_max","representative_depth_max","sediment_dry_weight","dry_bulk_density","fraction_carbon","fraction_h2o","soil_carbon_density","interval_carbon_stock","depth_interval_notes","soil_color"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_1","T1 P1-5","RG12092019_1_1_A",2019,12,9,"0","15","15","72.4",0.68593,0.06329,0.35248,0.04341,0.65117,NA,"Dark gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_1","T1 P1-5","RG12092019_1_1_B",2019,12,9,"15","30","30","66.8",0.60579,0.06321,0.36285,0.03829,1.14882,NA,"Dark gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_1","T1 P1-5","RG12092019_1_1_C",2019,12,9,"30","56","50","118",1.06287,0.06767,0.28634,0.07192,4.02759,"una raiz","Dark gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_2","T1 P2-5","RG12092019_1_2_A",2019,12,9,"0","15","15","48.8",0.46234,0.06861,0.36802,0.03172,0.4758,NA,"Gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_2","T1 P2-5","RG12092019_1_2_B",2019,12,9,"15","30","30","59",0.53505,0.06331,0.36578,0.03388,1.01627,NA,"Gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_2","T1 P2-5","RG12092019_1_2_C",2019,12,9,"30","54","50","49.3",0.44406,0.0639,0.34743,0.02838,1.53233,"Una raíz grande","Gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_3","T1 P3-5","RG12092019_1_3_A",2019,12,9,"0","15","15","80.5",0.76267,0.06277,0.37865,0.04788,0.71813,"Raíces y una raíz grande","Dark grayish brown"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_3","T1 P3-5","RG12092019_1_3_B",2019,12,9,"15","30","30","80.8",0.73275,0.065310000000000007,0.36561,0.04786,1.43567,NA,"Dark gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_3","T1 P3-5","RG12092019_1_3_C",2019,12,9,"30","53","50","145.3",1.30877,0.05955,0.39249,0.07794,4.13078,"Raíces y una raíz grande","Black"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_4","T1 P4-5","RG12092019_1_4_A",2019,12,9,"0","15","15","67.3",0.63761,0.07312,0.32559,0.04662,0.69929,"cangrejo","Dark gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_4","T1 P4-5","RG12092019_1_4_B",2019,12,9,"15","30","30","75.1",0.68106,0.0615,0.35308,0.04188,1.25652,"una raiz","Dark gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_4","T1 P4-5","RG12092019_1_4_C",2019,12,9,"30","50","50","102.5",0.92326,0.0549,0.35864,0.05069,2.53447,"Raíces y una raíz grande","Very dark gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_5","T1 P5-5","RG12092019_1_5_A",2019,12,9,"0","15","15","69.4",0.65751,0.06621,0.33269,0.04354,0.65303,"Raíces","Dark gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_5","T1 P5-5","RG12092019_1_5_B",2019,12,9,"15","30","30","70",0.63481,0.06849,0.34014,0.04348,1.30427,"Raíces","Very dark gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_5","T1 P5-5","RG12092019_1_5_C",2019,12,9,"30","50","50","102.8",0.92596,0.05686,0.34531,0.05265,2.6326,"Raíces","Very dark gray"
"Romero_et_al_2025_Montijo","Rio Guabo","RG_1_5","T1 P5-5","RG12092019_1_5_D",2019,12,9,"50","65","100","80.8",0.72414,0.10706,0.33007,0.07753,5.03939,"Raíces y una raíz grande","Black"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_1","T2 P1-4","PB14092019_2_1_A",2019,9,14,"0","15","15","56.6",0.53624,0.07447,0.31323,0.03993,0.59897,"Raíces y una raíz grande","Very dark grayish brown"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_1","T2 P1-4","PB14092019_2_1_B",2019,9,14,"15","30","30","66.1",0.59944,0.04635,0.3226,0.02778,0.83351,"Raíces y una raíz grande","very dark gray"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_1","T2 P1-4","PB14092019_2_1_C",2019,9,14,"30","50","50","86.8",0.78184,0.07977,0.30139,0.06237,3.11837,"Raíces y una raíz grande","Black"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_2","T2 P2-4","PB14092019_2_2_A",2019,9,14,"0","15","15","67.3",0.63761,0.07318,0.35421,0.04666,0.69992,"Pocas raíces y una raíz grande","Dark grayish brown"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_2","T2 P2-4","PB14092019_2_2_B",2019,9,14,"15","30","30","51.1",0.46341,0.05376,0.32589,0.02491,0.7474,"Raíces","gray"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_2","T2 P2-4","PB14092019_2_2_C",2019,9,14,"30","50","50","110.8",0.99802,0.04186,0.37169,0.04178,2.08882,"Raiz","gray"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_2","T2 P2-4","PB14092019_2_2_D",2019,9,14,"50","61","100","211",1.89102,0.04541,0.39864,0.08587,5.23792,"Raíces y una raíz grande","very dark gray"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_3","T2 P3-4","PB14092019_2_3_A",2019,9,14,"0","15","15","49",0.46423,0.0561,0.26161,0.02604,0.39063,NA,"dark gray"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_3","T2 P3-4","PB14092019_2_3_B",2019,9,14,"15","30","30","52.1",0.47248,0.05589,0.29823,0.0264,0.79215,"Raíces","dark gray"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_3","T2 P3-4","PB14092019_2_3_C",2019,9,14,"30","50","50","65.1",0.58638,0.0637,0.2262,0.03735,1.86748,"Raíces","dark gray"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_3","T2 P3-4","PB14092019_2_3_D",2019,9,14,"50","80","100","60.9",0.5458,0.05415,0.12585,0.02955,2.3643,"Raíces y corteza","very dark gray"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_4","T2 P4-4","PB14092019_2_4_A",2019,9,14,"0","15","15","40.6",0.38465,0.06842,0.19324,0.02632,0.39477,"Raíces","dark gray"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_4","T2 P4-4","PB14092019_2_4_B",2019,9,14,"15","30","30","48",0.4353,0.0625,0.26144,0.02721,0.81619,"Raíces","very dark gray"
"Romero_et_al_2025_Montijo","Palmas Bella","PB_2_4","T2 P4-4","PB14092019_2_4_C",2019,9,14,"30","50","50","44.1",0.39723,0.06225,0.14281,0.02473,1.23628,"Raíces y una gruesa","very dark gray"
"Romero_et_al_2025_Montijo","Saino","SA_3_1","T3 P1-6","SA21112019_3_1_A",2019,11,21,"0","15","15","49.5",0.46897,0.12782,0.22358,0.05994,0.89913,"Raíces","very dark gray"
"Romero_et_al_2025_Montijo","Saino","SA_3_1","T3 P1-6","SA21112019_3_1_B",2019,11,21,"15","30","30","52.5",0.4761,0.0983,0.27574,0.0468,1.40398,"Raíces","black"
"Romero_et_al_2025_Montijo","Saino","SA_3_1","T3 P1-6","SA21112019_3_1_C",2019,11,21,"30","50","50","65.5",0.58998,0.08456,0.29571,0.04989,2.49451,"Raíces","black"
"Romero_et_al_2025_Montijo","Saino","SA_3_1","T3 P1-6","SA21112019_3_1_D",2019,11,21,"50","65","100","61.2",0.54849,0.10235,0.30088,0.05614,3.64902,NA,"black"
"Romero_et_al_2025_Montijo","Saino","SA_3_2","T3 P2-6","SA21112019_3_2_A",2019,11,21,"0","15","15","41",0.38844,0.12356,0.23727,0.048,0.71994,"Cortezas","very dark gray"
"Romero_et_al_2025_Montijo","Saino","SA_3_2","T3 P2-6","SA21112019_3_2_B",2019,11,21,"15","30","30","48.4",0.43892,0.10826,0.27977,0.04752,1.42554,"cortezas","very dark gray"
"Romero_et_al_2025_Montijo","Saino","SA_3_2","T3 P2-6","SA21112019_3_2_C",2019,11,21,"30","50","50","44.4",0.39993,0.11832,0.24355,0.04732,2.36602,"Raíces","black"
"Romero_et_al_2025_Montijo","Saino","SA_3_3","T3 P3-6","SA21112019_3_3_A",2019,11,21,"0","15","15","63.5",0.60161,0.09901,0.31036,0.05957,0.89351,"Raíces","very grayish brown"
"Romero_et_al_2025_Montijo","Saino","SA_3_3","T3 P3-6","SA21112019_3_3_B",2019,11,21,"15","30","30","63.2",0.57314,0.11395,0.3068,0.065310000000000007,1.95926,"Raíces y una grande","very dark gray"
"Romero_et_al_2025_Montijo","Saino","SA_3_3","T3 P3-6","SA21112019_3_3_C",2019,11,21,"30","50","50","102.2",0.92055,0.08743,0.33322,0.08048,4.02406,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_3","T3 P3-6","SA21112019_3_3_D",2019,11,21,"50","66","100","58.8",0.52698,0.08228,0.37004,0.04336,2.86177,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_4","T3 P4-6","SA21112019_3_4_A",2019,11,21,"0","15","15","43",0.40739,0.21915,0.26909,0.08928,1.3392,"Raíces","very dark gray"
"Romero_et_al_2025_Montijo","Saino","SA_3_4","T3 P4-6","SA21112019_3_4_B",2019,11,21,"15","30","30","46.2",0.41897,0.18267,0.27983,0.07653,2.29597,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_4","T3 P4-6","SA21112019_3_4_C",2019,11,21,"30","50","50","147.9",1.33219,0.07848,0.35716,0.10455,5.22771,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_4","T3 P4-6","SA21112019_3_4_D",2019,11,21,"50","78","100","68.6",0.61481,0.10896,0.29392,0.06699,5.22502,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","T3 P5-6","SA21112019_3_5_A",2019,11,21,"0","15","15","36.2",0.34297,0.25286,0.21886,0.08672,1.30084,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","T3 P5-6","SA21112019_3_5_B",2019,11,21,"15","30","30","46.7",0.42351,0.14851,0.26162,0.0629,1.8869,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_5","T3 P5-6","SA21112019_3_5_C",2019,11,21,"30","50","50","87.1",0.78454,0.10486,0.28898,0.08226,4.11323,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_6","T3 P6-6","SA21112019_3_6_A",2019,11,21,"0","15","15","31.8",0.30128,0.11571,0.20529,0.03486,0.52289,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_6","T3 P6-6","SA21112019_3_6_B",2019,11,21,"15","30","30","40.8",0.37,0.24065,0.23354,0.08904,2.67118,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_6","T3 P6-6","SA21112019_3_6_C",2019,11,21,"30","50","50","67",0.60349,0.11028,0.25056,0.06655,3.32756,"Raíces","Black"
"Romero_et_al_2025_Montijo","Saino","SA_3_6","T3 P6-6","SA21112019_3_6_D",2019,11,21,"50","77","100","114",1.02169,0.12512,0.27078,0.12784,9.84336,"Raíces y corteza","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_1","T4 P1-5","RC22112019_4_1_A",2019,11,22,"0","15","15","81.9",0.77594,0.04583,0.42857,0.03556,0.53347,NA,"Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_1","T4 P1-5","RC22112019_4_1_B",2019,11,22,"15","30","30","72",0.65294,0.04757,0.39978,0.03106,0.93189,NA,"very dark gray"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_1","T4 P1-5","RC22112019_4_1_C",2019,11,22,"30","50","50","98",0.88272,0.05648,0.36677,0.04986,2.49283,"Raíces y una raíz grande","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_1","T4 P1-5","RC22112019_4_1_D",2019,11,22,"50","80","100","186.9",1.67503,0.04698,0.38552,0.0787,6.29603,"Raíz","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_2","T4 P2-5","RC22112019_4_2_A",2019,11,22,"0","15","15","56.6",0.53624,0.07997,0.31602,0.04288,0.64322,"Raíces y una raíz grande","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_2","T4 P2-5","RC22112019_4_2_B",2019,11,22,"15","30","30","69.8",0.63299,0.05897,0.35342,0.03733,1.11978,"Raíz","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_2","T4 P2-5","RC22112019_4_2_C",2019,11,22,"30","50","50","108.6",0.9782,0.0488,0.36152,0.04774,2.38688,"Raíz","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_2","T4 P2-5","RC22112019_4_2_D",2019,11,22,"50","88","100","292.3",2.61965,0.04531,0.37907,0.11871,10.44631,"Raíz","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_3","T4 P3-5","RC22112019_4_3_A",2019,11,22,"0","15","15","40.1",0.37991,0.06736,0.34509,0.02559,0.38384,NA,"very dark browm"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_3","T4 P3-5","RC22112019_4_3_B",2019,11,22,"15","30","30","50.2",0.45525,0.07156,0.3436,0.03258,0.97739,"Raíz","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_3","T4 P3-5","RC22112019_4_3_C",2019,11,22,"30","50","50","97.2",0.87552,0.06172,0.33414,0.05404,2.70206,"Raíz","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_3","T4 P3-5","RC22112019_4_3_D",2019,11,22,"50","100","100","286.5",2.56766,0.0558,0.31997,0.14329,14.32859,"Raíz","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_4","T4 P4-5","RC22112019_4_4_A",2019,11,22,"0","15","15","72.6",0.68783,0.05214,0.33658,0.03586,0.53797,"Raíz","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_4","T4 P4-5","RC22112019_4_4_B",2019,11,22,"15","30","30","55.7",0.50512,0.06075,0.3074,0.03069,0.9206,"Raíz","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_4","T4 P4-5","RC22112019_4_4_C",2019,11,22,"30","50","50","125",1.12592,0.07,0.37617,0.07881,3.94068,NA,"Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_5","T4 P5-5","RC22112019_4_5_A",2019,11,22,"0","15","15","56.4",0.53434,0.05336,0.26806,0.02851,0.4277,"Raíz","Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_5","T4 P5-5","RC22112019_4_5_B",2019,11,22,"15","30","30","82.1",0.74454,0.04237,0.40147,0.03154,0.94626999999999994,NA,"Black"
"Romero_et_al_2025_Montijo","Rio Cañaza","RC_4_5","T4 P5-5","RC22112019_4_5_C",2019,11,22,"30","50","50","108.1",0.9737,0.04227,0.38442,0.04116,2.05779,"Raíz","Black"
